deckBranch,canonicalCards,productionEligibleMappedCards,coveragePct
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::02 Spine::02.10 Arteries,16,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::03 Arm::03.02 Trauma::Humerus,16,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::03 Shoulder::03.04 Trauma,16,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::08 Pelvis::08.01 General Anatomy,16,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::10 Foot/Ankle::10.13 Nerves,16,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::06 Hand::06.02 Hand Conditions::Scaphoid,16,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Pediatrics::Pediatric Trauma::Pelvis & Femur Trauma::Femoral Shaft Fractures,16,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Trauma::Upper Extremity::Forearm::Distal Radius,16,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Basic Science::MSK Science::Material Science::Material Properties,16,0,0
Marty McFlyin's Ortho Deck::Alex,16,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::01 The Basics::01.01 X-rays::Upper Extremity,15,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::01 The Basics::01.01 X-rays::Lower Extremity,15,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::02 Spine::02.05 Joints,15,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::02 Shoulder Girdle::02.03 Sports::Rotator Cuff,15,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::08 Thigh/Hip::08.01 Topographic Anatomy,15,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::08 Thigh/Hip::08.03 Radiology,15,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::08 Thigh/Hip::08.11 Nerves,15,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::14 Pediatrics::14.03 Upper Extremity::Elbow,15,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::10 Foot/Ankle::10.03 Radiology,15,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::13 Foot & Ankle::13.02 Trauma::Calcaneus,15,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Shoulder & Elbow::Shoulder::Impingement & Rotator Cuff::Rotator Cuff Tears,15,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Trauma::Lower Extremity::Knee::Tibial Plateau Fractures,15,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::01 The Basics::01.01 X-rays::Pelvis,14,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::09 Hip::09.02 Trauma::Femoral Head & Neck,14,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::05 Forearm::05.12 Nerves,14,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::07 Spine::07.02 Trauma::Spinal Cord Injuries,14,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::14 Pediatrics::14.03 Upper Extremity::Hand,14,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::14 Pediatrics::14.05 Lower Extremity::Tibia,14,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Evaluation in the Athlete::Knee Imaging,14,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Ligament Injury::ACL Tear,14,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Trauma::Pelvis Trauma::Pelvis::Pelvic Ring Fractures,14,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Spine::Spine Degenerative::Cervical Conditions::Cervical Radiculopathy,14,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Pathology::Bone Tumors::Metastatic Disease::Metastatic Disease of Extremity,14,0,0
Marty McFlyin's Ortho Deck::4) Hip and Knee Book::Knee Chapters::Basic Concepts of TKA::Gap Balance - Soft Tissue Tension,14,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::02 Spine::02.01 Topographic Anatomy,13,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::08 Thigh/Hip::08.09 Origins and Insertions,13,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::09 Leg/Knee::09.02 Osteology,13,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::09 Leg/Knee::09.11 Nerves,13,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::09 Hip::09.02 Trauma::Acetabulum,13,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::05 Forearm::05.02 Osteology,13,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::14 Pediatrics::14.01 General Anatomy,13,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::06 Hand::06.10 Physical Exam,13,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::06 Hand::06.13 Nerves,13,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::07 Pelvis::07.03 Radiology,13,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::11 Knee::06.02 Trauma::Tibial Plateau,13,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::13 Foot & Ankle::13.03 Conditions::Hallux Valgus,13,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Trauma::Lower Extremity::Hindfoot::Talar Neck Fractures,13,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::01 Basic Science::01.04 Muscles,12,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::02 Spine::02.04 Trauma,12,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::08 Thigh/Hip::08.12 Arteries,12,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::03 Shoulder::03.10 Nerves,12,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::05 Forearm::05.07 Other Structures,12,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::05 Forearm::05.10 Physical Exam,12,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::05 Forearm::05.14 Disorders,12,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::06 Hand::06.04 Trauma,12,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::10 Foot/Ankle::10.09 Physical Exam,12,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::10 Foot/Ankle::10.11 Origins and Insertions,12,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Trauma::Lower Extremity::Ankle::Ankle Fractures,12,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Shoulder & Elbow::Shoulder::Instability::Traumatic Anterior Shoulder Instability (TUBS),12,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Shoulder & Elbow::Shoulder::Anatomy & Evaluation::Shoulder Exam,12,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Trauma::Lower Extremity::Shaft & Distal Femur::Femoral Shaft Fractures,12,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Pediatrics::Pediatric Trauma::Hip & Pelvis Conditions::Developmental Dysplasia of the Hip (DDH),12,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Basic Science::Clinical Science::Practice Management::Legal Considerations in Orthopaedic Practice,12,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Trauma::Upper Extremity::Shoulder::Scapula Fractures,12,0,0
"Marty McFlyin's Ortho Deck::5) AAOS Res Study::Other (Basic Science, Anatomy Imaging, Miscellaneous)",12,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::01 The Basics::01.04 General Knowledge::Open Fractures,11,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::02 Shoulder Girdle::02.02 Trauma::Clavicle,11,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::02 Shoulder Girdle::02.02 Trauma::Proximal Humerus,11,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::08 Thigh/Hip::08.05 Joints,11,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::02 Shoulder Girdle::02.04 Adult Reconstruction::Total Shoulder Arthroplasty (TSA),11,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::03 Shoulder::03.02 Osteology,11,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::07 Spine::07.02 Trauma::Spinal Conditions,11,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::07 Pelvis::07.10 Nerves,11,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::12 Leg::12.02 Tibial Shaft,11,0,0
