external_question_id,raw_specialty,normalized_specialty_slug,normalized_specialty_title,raw_topic_label,normalized_topic_label,normalized_topic_slug,canonical_topic_node_slug,canonical_topic_node_id,mapping_confidence,review_reason,suggested_action,review_group_key,source_anomaly_reason,row_number
OBQ08-58,Approaches,,,Ilioinguinal Approach to the Acetabulum,Ilioinguinal Approach to the Acetabulum,ilioinguinal-approach-to-the-acetabulum,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::ilioinguinal-approach-to-the-acetabulum::source_anomaly,merged-specialty-topic,1247
OBQ09-103,Approaches,,,Hip Anterior Approach (Smith-Petersen),Hip Anterior Approach (Smith - Petersen),hip-anterior-approach-smith-petersen,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::hip-anterior-approach-smith-petersen::source_anomaly,merged-specialty-topic,1297
OBQ09-16,Approaches,,,Hip Medial Approach,Hip Medial Approach,hip-medial-approach,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::hip-medial-approach::source_anomaly,merged-specialty-topic,1358
OBQ09-25,Approaches,,,Volar Approach to Radius (Henry),Volar Approach to Radius (Henry),volar-approach-to-radius-henry,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::volar-approach-to-radius-henry::source_anomaly,merged-specialty-topic,1455
OBQ09-256,Approaches,,,"Hip Direct Lateral Approach (Hardinge, Transgluteal)","Hip Direct Lateral Approach (Hardinge, Transgluteal)",hip-direct-lateral-approach-hardinge-transgluteal,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::hip-direct-lateral-approach-hardinge-transgluteal::source_anomaly,merged-specialty-topic,1462
OBQ10-28,Approaches,,,Ilioinguinal Approach to the Acetabulum,Ilioinguinal Approach to the Acetabulum,ilioinguinal-approach-to-the-acetabulum,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::ilioinguinal-approach-to-the-acetabulum::source_anomaly,merged-specialty-topic,1750
OBQ10-48,Approaches,,,Posterior Approach to the Acetabulum (Kocher- Langenbeck),Posterior Approach to the Acetabulum (Kocher - Langenbeck),posterior-approach-to-the-acetabulum-kocher-langenbeck,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::posterior-approach-to-the-acetabulum-kocher-langenbeck::source_anomaly,merged-specialty-topic,1772
OBQ10-53,Approaches,,,Stoppa Approach to Acetabulum,Stoppa Approach to Acetabulum,stoppa-approach-to-acetabulum,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::stoppa-approach-to-acetabulum::source_anomaly,merged-specialty-topic,1778
OBQ11-180,Approaches,,,Hip Anterior Approach (Smith-Petersen),Hip Anterior Approach (Smith - Petersen),hip-anterior-approach-smith-petersen,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::hip-anterior-approach-smith-petersen::source_anomaly,merged-specialty-topic,1917
OBQ11-186,Approaches,,,Hip Anterolateral Approach (Watson-Jones),Hip Anterolateral Approach (Watson - Jones),hip-anterolateral-approach-watson-jones,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::hip-anterolateral-approach-watson-jones::source_anomaly,merged-specialty-topic,1923
