review_group_key,raw_specialty_labels,normalized_specialty_slug,normalized_specialty_title,raw_topic_labels,normalized_topic_label,normalized_topic_slug,canonical_topic_node_slug,canonical_topic_node_id,question_count,is_high_frequency_topic,mapping_confidence,review_reason,suggested_action,mapping_method,review_override_reason,representative_question_ids,quality_notes
orthobullets::pediatrics::infantile-blount-s-disease-tibia-vara::accepted,Pediatrics,pediatrics,Pediatrics,Infantile Blount's Disease (tibia vara),Infantile Blount's Disease (tibia vara),infantile-blount-s-disease-tibia-vara,pediatrics-infantile-blount-s-disease-tibia-vara,,15,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ05-185 | OBQ05-23 | OBQ08-124 | OBQ08-183 | OBQ15-210.1 | OBQ16-43 | SBQ04PE-3 | SBQ04PE-5 | SBQ13PE-110.1 | SBQ13PE-13,specialty:csv-normalized | topic:source-normalized
orthobullets::pediatrics::osteogenesis-imperfecta::accepted,Pediatrics,pediatrics,Pediatrics,Osteogenesis Imperfecta,Osteogenesis Imperfecta,osteogenesis-imperfecta,pediatrics-osteogenesis-imperfecta,,15,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ05-220 | OBQ06-205 | OBQ08-263 | OBQ09-68 | OBQ10-265 | OBQ11-207 | OBQ11-216 | OBQ14-229 | OBQ15-187 | OBQ17-142,specialty:csv-normalized | topic:source-normalized
orthobullets::shoulder-elbow::slap-lesion::accepted,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,SLAP Lesion,SLAP Lesion,slap-lesion,shoulder-elbow-slap-lesion,,15,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-236 | OBQ04-40 | OBQ10-37 | OBQ10-46 | OBQ12-1 | OBQ12-110 | OBQ13-101 | OBQ15-85 | OBQ16-275 | OBQ17-108,specialty:csv-normalized | topic:source-normalized
orthobullets::shoulder-elbow::total-elbow-arthroplasty::accepted,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Total Elbow Arthroplasty,Total Elbow Arthroplasty,total-elbow-arthroplasty,shoulder-elbow-total-elbow-arthroplasty,,15,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ07-40.1 | OBQ12-40 | OBQ14-12 | OBQ14-204 | OBQ14-253.1 | OBQ15-135 | OBQ15-213 | OBQ21-53 | SBQ11UE-94.1 | SBQ19SE-45,specialty:csv-normalized | topic:source-normalized
orthobullets::spine::osteoporotic-vertebral-compression-fracture::accepted,Spine,spine,Spine,Osteoporotic Vertebral Compression Fracture,Osteoporotic Vertebral Compression Fracture,osteoporotic-vertebral-compression-fracture,spine-osteoporotic-vertebral-compression-fracture,,15,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ09-270 | OBQ12-106 | OBQ12-155 | OBQ13-260 | OBQ14-233 | OBQ14-236.1 | OBQ18-184 | OBQ18-190 | OBQ19-228 | OBQ23-152,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::gun-shot-wounds::accepted,Trauma,trauma,Trauma,Gun Shot Wounds,Gun Shot Wounds,gun-shot-wounds,trauma-gun-shot-wounds,,15,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ05-233 | OBQ06-91 | OBQ12-193 | OBQ13-6 | OBQ14-196 | OBQ14-224 | OBQ14-261 | OBQ14-269 | OBQ15-160 | OBQ15-190,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::osteomyelitis-adult::accepted,Trauma,trauma,Trauma,Osteomyelitis - Adult,Osteomyelitis - Adult,osteomyelitis-adult,trauma-osteomyelitis-adult,,15,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ05-274 | OBQ07-239 | OBQ12-153 | OBQ13-63 | OBQ23-95 | SBQ12FA-69 | SBQ12TR-84 | SBQ12TR-98 | SBQ18BS-5 | SBQ18BS-6,specialty:csv-normalized | topic:source-normalized
orthobullets::basic-science::rehab-and-prosthetics::accepted,Basic Science,basic-science,Basic Science,Rehab & Prosthetics,Rehab & Prosthetics,rehab-and-prosthetics,basic-science-rehab-and-prosthetics,,14,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-209 | OBQ05-243 | OBQ06-101 | OBQ06-254 | OBQ08-146 | OBQ08-266 | OBQ09-267 | OBQ10-128 | OBQ10-195 | OBQ10-245,specialty:csv-normalized | topic:source-normalized
orthobullets::basic-science::rickets::accepted,Basic Science,basic-science,Basic Science,Rickets,Rickets,rickets,basic-science-rickets,,14,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-95 | OBQ07-271 | OBQ08-121 | OBQ09-117 | OBQ10-55 | OBQ13-38 | OBQ19-122 | SBQ07PE-74.1 | SBQ07PE-99.1 | SBQ13PE-103,specialty:csv-normalized | topic:source-normalized
orthobullets::hand::cubital-tunnel-syndrome::accepted,Hand,hand,Hand,Cubital Tunnel Syndrome,Cubital Tunnel Syndrome,cubital-tunnel-syndrome,hand-cubital-tunnel-syndrome,,14,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ09-1 | OBQ09-24 | OBQ10-84.1 | OBQ11-128 | OBQ17-178 | OBQ18-37 | OBQ18-59 | OBQ22-129 | OBQ23-3 | SBQ05UE-66,specialty:csv-normalized | topic:source-normalized
orthobullets::hand::dupuytren-s-disease::accepted,Hand,hand,Hand,Dupuytren's Disease,Dupuytren's Disease,dupuytren-s-disease,hand-dupuytren-s-disease,,14,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-133 | OBQ04-267 | OBQ10-110 | OBQ12-245 | OBQ14-228 | OBQ14-96 | OBQ16-271 | SBQ17SE-42 | SBQ17SE-61 | SBQ21H-68,specialty:csv-normalized | topic:source-normalized
orthobullets::knee-sports::the-female-athlete::accepted,Knee & Sports,knee-sports,Knee & Sports,The Female Athlete,The Female Athlete,the-female-athlete,knee-sports-the-female-athlete,,14,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ05-169 | OBQ09-240 | OBQ12-129 | OBQ14-112 | OBQ15-188 | OBQ20-72 | OBQ22-41 | SBQ04SM-16 | SBQ07SM-71 | SBQ07SM-75,specialty:csv-normalized | topic:source-normalized
orthobullets::pathology::biopsy-principles::accepted,Pathology,pathology,Pathology,Biopsy Principles,Biopsy Principles,biopsy-principles,pathology-biopsy-principles,,14,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ12-35.1 | OBQ14-60 | OBQ15-151 | OBQ16-47 | OBQ16-90 | OBQ17-100 | OBQ17-189 | OBQ18-160 | OBQ18-84 | OBQ20-9,specialty:csv-normalized | topic:source-normalized
orthobullets::pathology::ewing-s-sarcoma::accepted,Pathology,pathology,Pathology,Ewing's Sarcoma,Ewing's Sarcoma,ewing-s-sarcoma,pathology-ewing-s-sarcoma,,14,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-116 | OBQ06-161 | OBQ06-214 | OBQ06-239 | OBQ06-65 | OBQ08-53 | OBQ10-171 | OBQ10-194 | OBQ12-222 | OBQ15-156,specialty:csv-normalized | topic:source-normalized
orthobullets::pediatrics::physeal-considerations::accepted,Pediatrics,pediatrics,Pediatrics,Physeal Considerations,Physeal Considerations,physeal-considerations,pediatrics-physeal-considerations,,14,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-234 | OBQ18-256 | OBQ20-10 | OBQ20-162 | SBQ04PE-57 | SBQ08OS-59.1 | SBQ13BS-18.1 | SBQ13PE-86 | SBQ16SM-16 | SBQ18BS-10,specialty:csv-normalized | topic:source-normalized
orthobullets::pediatrics::proximal-femur-fractures-pediatric::accepted,Pediatrics,pediatrics,Pediatrics,Proximal Femur Fractures - Pediatric,Proximal Femur Fractures - Pediatric,proximal-femur-fractures-pediatric,pediatrics-proximal-femur-fractures-pediatric,,14,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ06-113 | OBQ12-224 | OBQ13-151 | OBQ22-45 | OBQ23-120 | SBQ04PE-80 | SBQ13PE-28 | SBQ13PE-51 | SBQ13PE-52 | SBQ13PE-74,specialty:csv-normalized | topic:source-normalized
orthobullets::recon::adult-hip-dysplasia::accepted,Recon,recon,Recon,Adult Hip Dysplasia,Adult Hip Dysplasia,adult-hip-dysplasia,recon-adult-hip-dysplasia,,14,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ15-197 | OBQ17-26 | OBQ22-107 | SBQ10HK-73.2 | SBQ16HK-15 | SBQ16HK-2 | SBQ21RCN-12 | SBQ21RCN-44 | SBQ21RCN-59 | SBQ21RCN-70,specialty:csv-normalized | topic:source-normalized
orthobullets::recon::high-tibial-osteotomy::accepted,Recon,recon,Recon,High Tibial Osteotomy,High Tibial Osteotomy,high-tibial-osteotomy,recon-high-tibial-osteotomy,,14,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ11-105 | OBQ20-102 | OBQ20-142 | OBQ22-118 | OBQ22-191 | SBQ08OS-20.1 | SBQ16SM-45 | SBQ16SM-46 | SBQ16SM-47 | SBQ19HK-44,specialty:csv-normalized | topic:source-normalized
orthobullets::recon::tha-trunnionosis::accepted,Recon,recon,Recon,THA Trunnionosis,THA Trunnionosis,tha-trunnionosis,recon-tha-trunnionosis,,14,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ18-246 | OBQ18-32 | OBQ19-48 | OBQ20-7 | OBQ20-82 | OBQ23-65 | SBQ21RCN-19 | SBQ21RCN-24 | SBQ21RCN-29 | SBQ21RCN-75,specialty:csv-normalized | topic:source-normalized
orthobullets::shoulder-elbow::lateral-ulnar-collateral-ligament-injury-plri::accepted,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Lateral Ulnar Collateral Ligament Injury (PLRI),Lateral Ulnar Collateral Ligament Injury (PLRI),lateral-ulnar-collateral-ligament-injury-plri,shoulder-elbow-lateral-ulnar-collateral-ligament-injury-plri,,14,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ13-88 | OBQ15-66 | OBQ19-101 | OBQ19-207 | OBQ19-218 | OBQ21-124 | OBQ22-132 | SBQ21SE-15 | SBQ21SE-21 | SBQ21SE-7,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::brachial-plexus-injuries::accepted,Trauma,trauma,Trauma,Brachial Plexus Injuries,Brachial Plexus Injuries,brachial-plexus-injuries,trauma-brachial-plexus-injuries,,14,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ08-272 | OBQ13-115 | OBQ13-36 | OBQ14-15 | OBQ14-167 | OBQ14-8 | OBQ15-65 | OBQ19-168 | OBQ21-200 | SBQ07SM-29,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::domestic-and-elder-abuse::accepted,Trauma,trauma,Trauma,Domestic and Elder Abuse,Domestic and Elder Abuse,domestic-and-elder-abuse,trauma-domestic-and-elder-abuse,,14,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ06-25 | OBQ07-272 | OBQ10-115 | OBQ11-45 | OBQ12-179 | OBQ12-80 | OBQ13-96 | OBQ14-119 | OBQ15-255 | OBQ15-82,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::septic-arthritis-adult::accepted,Trauma,trauma,Trauma,Septic Arthritis - Adult,Septic Arthritis - Adult,septic-arthritis-adult,trauma-septic-arthritis-adult,,14,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-24 | OBQ06-249 | OBQ06-63 | OBQ10-114 | OBQ17-65 | OBQ17-72 | OBQ20-209 | OBQ20-25 | SBQ04PE-48 | SBQ11OS-126.1,specialty:csv-normalized | topic:source-normalized
orthobullets::foot-ankle::achilles-tendonitis::accepted,Foot & Ankle,foot-ankle,Foot & Ankle,Achilles Tendonitis,Achilles Tendonitis,achilles-tendonitis,foot-ankle-achilles-tendonitis,,13,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ08-153 | OBQ12-198 | OBQ14-245 | OBQ15-260 | OBQ16-16 | OBQ19-237 | OBQ19-45 | OBQ23-40 | SBQ18FA-39 | SBQ18FA-67,specialty:csv-normalized | topic:source-normalized
orthobullets::foot-ankle::foot-muscle-forces-and-deformities::accepted,Foot & Ankle,foot-ankle,Foot & Ankle,Foot Muscle Forces & Deformities,Foot Muscle Forces & Deformities,foot-muscle-forces-and-deformities,foot-ankle-foot-muscle-forces-and-deformities,,13,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-112 | OBQ10-193 | OBQ15-211 | OBQ16-130 | OBQ17-119 | OBQ20-145 | OBQ24-114 | SBQ12FA-35 | SBQ12FA-48 | SBQ12FA-71,specialty:csv-normalized | topic:source-normalized
orthobullets::foot-ankle::interdigital-morton-s-neuroma::accepted,Foot & Ankle,foot-ankle,Foot & Ankle,Interdigital (Morton's) Neuroma,Interdigital (Morton's) Neuroma,interdigital-morton-s-neuroma,foot-ankle-interdigital-morton-s-neuroma,,13,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ19-44 | OBQ21-114 | OBQ23-101 | SBQ12FA-70 | SBQ18FA-14 | SBQ18FA-15 | SBQ18FA-47 | SBQ18FA-48 | SBQ18FA-49 | SBQ18FA-50,specialty:csv-normalized | topic:source-normalized
orthobullets::hand::phalanx-dislocations::accepted,Hand,hand,Hand,Phalanx Dislocations,Phalanx Dislocations,phalanx-dislocations,hand-phalanx-dislocations,,13,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ06-120 | OBQ07-218 | OBQ07-24 | OBQ08-100.1 | OBQ08-100.2 | OBQ09-194 | OBQ13-28 | OBQ14-263 | OBQ20-47 | OBQ21-70,specialty:csv-normalized | topic:source-normalized
orthobullets::pathology::non-ossifying-fibroma::accepted,Pathology,pathology,Pathology,Non-Ossifying Fibroma,Non - Ossifying Fibroma,non-ossifying-fibroma,pathology-non-ossifying-fibroma,,13,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ05-252 | OBQ06-96 | OBQ07-43 | OBQ10-112 | OBQ12-273 | OBQ15-262 | OBQ21-184 | OBQ22-61 | OBQ23-54 | OBQ24-1,specialty:csv-normalized | topic:source-normalized
orthobullets::recon::tha-pseudotumor-metal-on-metal-reactions::accepted,Recon,recon,Recon,THA Pseudotumor (Metal on Metal Reactions),THA Pseudotumor (Metal on Metal Reactions),tha-pseudotumor-metal-on-metal-reactions,recon-tha-pseudotumor-metal-on-metal-reactions,,13,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ13-20 | OBQ13-270 | OBQ14-108.1 | OBQ15-118 | OBQ20-204 | OBQ21-41 | SBQ13BS-55.1 | SBQ16HK-16 | SBQ21RCN-34 | SBQ21RCN-39,specialty:csv-normalized | topic:source-normalized
orthobullets::shoulder-elbow::elbow-arthritis::accepted,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Elbow Arthritis,Elbow Arthritis,elbow-arthritis,shoulder-elbow-elbow-arthritis,,13,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ17-51 | OBQ20-38 | SBQ08UE-45.1 | SBQ19SE-13 | SBQ19SE-40 | SBQ19SE-56 | SBQ21SE-19 | SBQ21SE-34 | SBQ21SE-40 | SBQ21SE-85,specialty:csv-normalized | topic:source-normalized
orthobullets::shoulder-elbow::internal-impingement::accepted,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Internal Impingement,Internal Impingement,internal-impingement,shoulder-elbow-internal-impingement,,13,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ07-38 | OBQ08-4 | OBQ09-142 | OBQ10-174 | OBQ11-140 | OBQ13-148 | OBQ22-141 | SBQ07SM-99.1 | SBQ17SE-97 | SBQ21SE-23,specialty:csv-normalized | topic:source-normalized
orthobullets::shoulder-elbow::lateral-epicondylitis-tennis-elbow::accepted,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Lateral Epicondylitis (Tennis Elbow),Lateral Epicondylitis (Tennis Elbow),lateral-epicondylitis-tennis-elbow,shoulder-elbow-lateral-epicondylitis-tennis-elbow,,13,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ08-194 | OBQ09-107 | OBQ09-119 | OBQ15-142.1 | OBQ15-209 | OBQ15-89 | OBQ16-171 | OBQ16-96 | OBQ24-87 | SBQ17SE-72,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::elbow-dislocation::accepted,Trauma,trauma,Trauma,Elbow Dislocation,Elbow Dislocation,elbow-dislocation,trauma-elbow-dislocation,,13,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ05-6 | OBQ08-149 | OBQ08-192 | OBQ10-252 | OBQ10-69 | OBQ12-183 | OBQ14-85 | OBQ19-222 | SBQ19SE-31 | SBQ19SE-4,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::necrotizing-fasciitis::accepted,Trauma,trauma,Trauma,Necrotizing Fasciitis,Necrotizing Fasciitis,necrotizing-fasciitis,trauma-necrotizing-fasciitis,,13,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-217 | OBQ04-264 | OBQ10-89.1 | OBQ12-136.1 | OBQ16-39 | SBQ17SE-80 | SBQ18FA-41 | SBQ18FA-42 | SBQ18FA-43 | SBQ18FA-56,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::scapula-fractures::accepted,Trauma,trauma,Trauma,Scapula Fractures,Scapula Fractures,scapula-fractures,trauma-scapula-fractures,,13,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ06-159 | OBQ06-266 | OBQ07-122 | OBQ08-134 | OBQ15-114 | OBQ19-99 | OBQ20-36 | SBQ04PE-72 | SBQ21SE-61 | SBQ21SE-9,specialty:csv-normalized | topic:source-normalized
orthobullets::foot-ankle::bunionette-deformity::accepted,Foot & Ankle,foot-ankle,Foot & Ankle,Bunionette Deformity,Bunionette Deformity,bunionette-deformity,foot-ankle-bunionette-deformity,,12,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ10-250 | OBQ11-134 | OBQ17-63 | SBQ12FA-55 | SBQ12FA-63 | SBQ18FA-86 | SBQ20FA-11 | SBQ22FA-20 | SBQ22FA-51 | SBQ22FA-9,specialty:csv-normalized | topic:source-normalized
orthobullets::hand::extremity-flap-reconstruction::accepted,Hand,hand,Hand,Extremity Flap Reconstruction,Extremity Flap Reconstruction,extremity-flap-reconstruction,hand-extremity-flap-reconstruction,,12,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ05-3 | OBQ06-1 | OBQ12-158 | OBQ13-240 | OBQ14-58 | OBQ18-45 | OBQ19-46 | OBQ19-84 | OBQ24-203 | SBQ16HK-3,specialty:csv-normalized | topic:source-normalized
orthobullets::hand::scaphoid-lunate-advanced-collapse-slac::accepted,Hand,hand,Hand,Scaphoid Lunate Advanced Collapse (SLAC),Scaphoid Lunate Advanced Collapse (SLAC),scaphoid-lunate-advanced-collapse-slac,hand-scaphoid-lunate-advanced-collapse-slac,,12,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-38 | OBQ12-163 | OBQ16-15 | OBQ19-86 | OBQ21-65 | SBQ17SE-12 | SBQ17SE-65 | SBQ17SE-71 | SBQ17SE-76 | SBQ21H-3,specialty:csv-normalized | topic:source-normalized
orthobullets::pathology::chondroblastoma::accepted,Pathology,pathology,Pathology,Chondroblastoma,Chondroblastoma,chondroblastoma,pathology-chondroblastoma,,12,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ06-7 | OBQ10-45 | OBQ11-100 | OBQ13-60 | OBQ14-262 | OBQ18-130 | OBQ19-187 | OBQ21-1 | OBQ24-141 | SBQ20BS-9,specialty:csv-normalized | topic:source-normalized
orthobullets::recon::hip-osteonecrosis::accepted,Recon,recon,Recon,Hip Osteonecrosis,Hip Osteonecrosis,hip-osteonecrosis,recon-hip-osteonecrosis,,12,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-220 | OBQ08-239 | OBQ09-8 | OBQ11-196 | OBQ12-254 | OBQ12-270 | OBQ13-50 | OBQ14-264.1 | OBQ15-50 | OBQ20-60,specialty:csv-normalized | topic:source-normalized
orthobullets::shoulder-elbow::multidirectional-shoulder-instability-mdi::accepted,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Multidirectional Shoulder Instability (MDI),Multidirectional Shoulder Instability (MDI),multidirectional-shoulder-instability-mdi,shoulder-elbow-multidirectional-shoulder-instability-mdi,,12,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-51 | OBQ05-51 | OBQ06-69 | OBQ09-150 | OBQ10-137 | OBQ12-10 | OBQ13-227 | OBQ18-105 | OBQ18-164 | SBQ21SE-35,specialty:csv-normalized | topic:source-normalized
orthobullets::shoulder-elbow::scapular-winging::accepted,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Scapular Winging,Scapular Winging,scapular-winging,shoulder-elbow-scapular-winging,,12,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-102 | OBQ04-119 | OBQ05-41 | OBQ08-101 | OBQ12-114 | OBQ12-258 | OBQ14-89 | OBQ15-23 | OBQ16-201 | SBQ07SM-9,specialty:csv-normalized | topic:source-normalized
orthobullets::spine::halo-orthosis-immobilization::accepted,Spine,spine,Spine,Halo Orthosis Immobilization,Halo Orthosis Immobilization,halo-orthosis-immobilization,spine-halo-orthosis-immobilization,,12,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ06-169 | OBQ07-224 | OBQ09-110 | OBQ10-99 | OBQ11-38 | OBQ19-89 | OBQ21-85 | OBQ22-112 | SBQ12SP-22.1 | SBQ12SP-49,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::capitellum-fractures::accepted,Trauma,trauma,Trauma,Capitellum Fractures,Capitellum Fractures,capitellum-fractures,trauma-capitellum-fractures,,12,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-157 | OBQ05-201 | OBQ12-195 | OBQ15-137 | OBQ21-90 | SBQ12TR-82 | SBQ18TR-41 | SBQ18TR-42 | SBQ18TR-43 | SBQ18TR-44,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::coronoid-fractures::accepted,Trauma,trauma,Trauma,Coronoid Fractures,Coronoid Fractures,coronoid-fractures,trauma-coronoid-fractures,,12,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,SBQ06TR-62 | SBQ11UE-98 | SBQ12TR-35 | SBQ12TR-41 | SBQ12TR-41.1 | SBQ12TR-41.3 | SBQ12TR-88 | SBQ17SE-96 | SBQ19SE-37 | SBQ19SE-5,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::olecranon-fractures::accepted,Trauma,trauma,Trauma,Olecranon Fractures,Olecranon Fractures,olecranon-fractures,trauma-olecranon-fractures,,12,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-138 | OBQ05-181 | OBQ07-204 | OBQ09-192 | OBQ09-243 | OBQ10-107 | OBQ10-38 | OBQ11-114 | OBQ11-141 | SBQ08UE-54.1,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::sacral-fractures::accepted,Trauma,trauma,Trauma,Sacral Fractures,Sacral Fractures,sacral-fractures,trauma-sacral-fractures,,12,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ05-32 | OBQ11-2 | OBQ11-35 | OBQ17-137.1 | OBQ24-168 | SBQ09TR-34.1 | SBQ12TR-81 | SBQ18SP-25 | SBQ18SP-3 | SBQ18TR-52,specialty:csv-normalized | topic:source-normalized
orthobullets::basic-science::anti-inflammatory-medications::accepted,Basic Science,basic-science,Basic Science,Anti-inflammatory Medications,Anti - inflammatory Medications,anti-inflammatory-medications,basic-science-anti-inflammatory-medications,,11,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ05-49 | OBQ07-206 | OBQ10-21 | OBQ10-76 | OBQ11-47 | OBQ13-142 | OBQ20-126 | OBQ23-128 | SBQ13BS-81.1 | SBQ23TR-65,specialty:csv-normalized | topic:source-normalized
orthobullets::basic-science::bone-signaling-and-rankl::accepted,Basic Science,basic-science,Basic Science,Bone Signaling & RANKL,Bone Signaling & RANKL,bone-signaling-and-rankl,basic-science-bone-signaling-and-rankl,,11,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-146 | OBQ06-149 | OBQ07-210 | OBQ09-275 | OBQ10-51 | OBQ11-51 | OBQ13-84 | OBQ19-121 | OBQ19-159 | OBQ20-169,specialty:csv-normalized | topic:source-normalized
orthobullets::basic-science::inheritance-patterns-orthopaedic-syndromes::accepted,Basic Science,basic-science,Basic Science,Inheritance Patterns Orthopaedic Syndromes,Inheritance Patterns Orthopaedic Syndromes,inheritance-patterns-orthopaedic-syndromes,basic-science-inheritance-patterns-orthopaedic-syndromes,,11,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ05-228 | OBQ06-228 | OBQ07-219 | OBQ11-159 | OBQ11-272 | OBQ18-257 | OBQ20-214 | SBQ18BS-13 | SBQ18BS-26 | SBQ18BS-27,specialty:csv-normalized | topic:source-normalized
orthobullets::hand::radial-clubhand-radial-deficiency::accepted,Hand,hand,Hand,Radial Clubhand (radial deficiency),Radial Clubhand (radial deficiency),radial-clubhand-radial-deficiency,hand-radial-clubhand-radial-deficiency,,11,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ08-19 | OBQ09-152 | OBQ11-143 | OBQ11-149 | OBQ21-208 | OBQ21-92 | OBQ23-115 | SBQ04PE-69 | SBQ21H-65 | SBQ24HW-88,specialty:csv-normalized | topic:source-normalized
orthobullets::knee-sports::cardiac-conditions::accepted,Knee & Sports,knee-sports,Knee & Sports,Cardiac Conditions,Cardiac Conditions,cardiac-conditions,knee-sports-cardiac-conditions,,11,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ05-199 | OBQ05-56 | OBQ09-196 | OBQ20-67 | OBQ23-45 | OBQ24-50 | SBQ07SM-11 | SBQ07SM-27 | SBQ16SM-65 | SBQ24SM-50,specialty:csv-normalized | topic:source-normalized
orthobullets::knee-sports::exertional-compartment-syndrome::accepted,Knee & Sports,knee-sports,Knee & Sports,Exertional Compartment Syndrome,Exertional Compartment Syndrome,exertional-compartment-syndrome,knee-sports-exertional-compartment-syndrome,,11,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ05-82 | OBQ23-130 | OBQ23-2 | SBQ10SM-97.1 | SBQ16SM-36 | SBQ16SM-41 | SBQ19HK-41 | SBQ21SM-26 | SBQ24HW-24 | SBQ24SM-1,specialty:csv-normalized | topic:source-normalized
orthobullets::knee-sports::hamstring-injuries::accepted,Knee & Sports,knee-sports,Knee & Sports,Hamstring Injuries,Hamstring Injuries,hamstring-injuries,knee-sports-hamstring-injuries,,11,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ07-175 | OBQ07-217 | OBQ12-152 | OBQ14-231 | OBQ15-125 | SBQ23PA-21 | SBQ24SM-40 | SBQ24SM-52 | SBQ24SM-94 | SBQ25FD-12,specialty:csv-normalized | topic:source-normalized
orthobullets::knee-sports::hip-arthroscopy::accepted,Knee & Sports,knee-sports,Knee & Sports,Hip Arthroscopy,Hip Arthroscopy,hip-arthroscopy,knee-sports-hip-arthroscopy,,11,FALSE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ06-209 | OBQ06-223 | OBQ07-136 | OBQ11-262 | OBQ18-115 | OBQ22-104 | OBQ24-136 | SBQ16HK-30 | SBQ16HK-7 | SBQ21SM-31,specialty:csv-normalized | topic:source-normalized
